City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
381,Moron,-34.6534,-58.6198,61.97,68,1,5.84,AR,2022-09-14 23:48:21
382,Viedma,-40.8135,-62.9967,61.95,25,10,8.61,AR,2022-09-14 23:48:21
383,Hay River,60.8156,-115.7999,73.38,27,75,9.22,CA,2022-09-14 23:48:22
384,Enkhuizen,52.7,5.2833,62.02,88,74,1.01,NL,2022-09-14 23:48:22
385,Japura,-0.3167,102.35,73.06,95,99,1.97,ID,2022-09-14 23:48:23
386,San Jose,37.3394,-121.895,77.31,49,20,13.0,US,2022-09-14 23:46:43
387,Muisne,0.6,-80.0333,73.58,83,95,8.12,EC,2022-09-14 23:48:23
388,Qui Nhon,13.7667,109.2333,80.11,81,100,8.28,VN,2022-09-14 23:48:24
389,Barcelos,41.5388,-8.6151,68.85,94,100,7.05,PT,2022-09-14 23:48:25
390,Yeppoon,-23.1333,150.7333,74.98,58,24,11.54,AU,2022-09-14 23:48:25
391,Constitucion,-35.3333,-72.4167,51.89,79,94,9.73,CL,2022-09-14 23:45:57
392,Sidi Ali,36.0998,0.4206,74.34,57,100,8.86,DZ,2022-09-14 23:48:26
393,Lewistown,40.5992,-77.5714,71.26,88,0,5.75,US,2022-09-14 23:48:26
394,Ust-Kut,56.7938,105.7672,38.17,84,66,1.25,RU,2022-09-14 23:48:26
395,Kandrian,-6.2167,149.55,84.27,71,66,10.54,PG,2022-09-14 23:48:27
396,Kurilsk,45.2333,147.8833,57.29,64,2,9.78,RU,2022-09-14 23:48:27
397,Verkhovye,52.8119,37.2425,46.81,95,100,7.25,RU,2022-09-14 23:48:27
398,Bairiki,1.3292,172.9752,84.2,79,75,8.05,KI,2022-09-14 23:48:28
399,Batemans Bay,-35.7167,150.1833,58.1,59,100,5.48,AU,2022-09-14 23:48:28
400,Martinsburg,39.4562,-77.9639,72.41,78,3,4.72,US,2022-09-14 23:43:49
401,Asyut,27.181,31.1837,78.98,35,0,10.54,EG,2022-09-14 23:48:29
