City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
172,Grindavik,63.8424,-22.4338,49.95,93,75,28.77,IS,light intensity drizzle
173,San Patricio,28.017,-97.5169,94.06,57,91,12.95,US,overcast clouds
174,Kampene,-3.6,26.6667,69.42,96,100,1.61,CD,light rain
175,Mlimba,-8.8,35.8167,75.85,45,37,3.47,TZ,scattered clouds
176,Raudeberg,61.9875,5.1352,50.67,73,64,21.14,NO,broken clouds
177,Nyrob,60.733,56.7202,46.76,87,100,4.36,RU,overcast clouds
178,Cayenne,4.9333,-52.3333,91.44,55,0,16.11,GF,clear sky
179,Ulaangom,49.9811,92.0667,43.97,67,0,0.02,MN,clear sky
180,Raton,36.9034,-104.4391,84.33,21,0,12.93,US,clear sky
181,Jacqueville,5.2052,-4.4146,76.12,87,40,11.99,CI,scattered clouds
182,Geraldton,-28.7667,114.6,59.41,88,75,14.97,AU,broken clouds
183,Nuuk,64.1835,-51.7216,46.47,79,100,7.78,GL,overcast clouds
184,Abadan,30.3392,48.3043,85.95,37,0,4.61,IR,clear sky
185,San Cristobal,7.7669,-72.225,84.38,54,22,7.92,VE,few clouds
186,Smithers,54.7804,-127.1743,46.72,76,20,2.3,CA,few clouds
187,Wattegama,6.7989,81.4808,77.76,77,100,5.93,LK,overcast clouds
188,Sunland Park,31.7965,-106.58,90.93,38,0,11.5,US,clear sky
189,Maicao,11.3832,-72.2432,91.09,52,100,7.4,CO,overcast clouds
190,Hasaki,35.7333,140.8333,79.29,88,100,20.0,JP,light rain
191,Jiwani,25.05,61.7417,80.37,81,0,11.77,PK,clear sky
192,Aracruz,-19.8203,-40.2733,70.81,64,84,7.31,BR,broken clouds
193,Tarakan,3.3,117.6333,80.1,89,40,2.3,ID,scattered clouds
194,Zhezkazgan,47.8043,67.7144,58.15,21,0,9.73,KZ,clear sky
195,Punta Gorda,26.9298,-82.0454,88.99,75,11,1.99,US,few clouds
196,Port Hardy,50.6996,-127.4199,50.18,93,20,3.44,CA,fog
197,Porto Velho,-8.7619,-63.9039,89.65,51,100,11.5,BR,overcast clouds
198,Vao,-22.6667,167.4833,72.52,78,0,14.9,NC,clear sky
199,Ahipara,-35.1667,173.1667,59.0,91,100,13.58,NZ,overcast clouds
200,Linz,48.3064,14.2861,52.68,84,40,11.5,AT,light rain
201,Poronaysk,49.2167,143.1167,53.1,95,80,4.14,RU,broken clouds
202,Kaitangata,-46.2817,169.8464,45.88,77,100,3.4,NZ,overcast clouds
203,Port Blair,11.6667,92.75,82.44,78,40,12.66,IN,mist
204,State College,40.7934,-77.86,82.81,53,53,11.01,US,broken clouds
205,Maldonado,-34.6667,-54.9167,70.99,61,100,11.61,UY,overcast clouds
206,Yarim,14.298,44.3779,62.55,61,100,2.1,YE,light rain
207,Portobelo,9.55,-79.65,80.11,80,82,2.73,PA,broken clouds
208,Vaini,-21.2,-175.2,71.76,94,75,8.05,TO,broken clouds
209,Autazes,-3.5797,-59.1306,98.67,28,71,4.16,BR,broken clouds
